spanMedian,spanP90,inkAtLeast,fits,driftRatio,spacing,zoom,theta,shape
28,41,0.053,1,4.031,1,2,0.01,circle
54,80,0.115,1,4.031,1,1,0.01,circle
132,197,0.154,1,4.031,1,0.4,0.01,circle
350,523,0.467,1,4.031,1,0.15,0.01,circle
654,979,0.744,1,4.031,1,0.08,0.01,circle
9,12,0.07,1,4.031,1,8,0.05,circle
28,41,0.068,1,4.031,1,2,0.05,circle
54,80,0.109,1,4.031,1,1,0.05,circle
132,197,0.318,1,4.031,1,0.4,0.05,circle
350,523,0.637,1,4.031,1,0.15,0.05,circle
654,979,0.832,1,4.031,1,0.08,0.05,circle
9,12,0.068,1,4.031,1,8,0.2,circle
28,41,0.09,1,4.031,1,2,0.2,circle
54,80,0.104,1,4.031,1,1,0.2,circle
132,197,0.326,1,4.031,1,0.4,0.2,circle
350,523,0.65,1,4.031,1,0.15,0.2,circle
654,979,0.883,1,4.031,1,0.08,0.2,circle
65537,65537,0.455,0,1,1,8,0,circle
65537,65537,0.473,0,1,1,2,0,circle
65537,65537,0.5,0,1,1,1,0,circle
65537,65537,0.5,0,1,1,0.4,0,circle
65537,65537,0.5,0,1,1,0.15,0,circle
65537,65537,0.5,0,1,1,0.08,0,circle
65537,65537,1,0,1,1,8,0.002,circle
65537,65537,0.77,0,1,1,2,0.002,circle
65537,65537,0.725,0,1,1,1,0.002,circle
65537,65537,0.66,0,1,1,0.4,0.002,circle
65537,65537,0.68,0,1,1,0.15,0.002,circle
65537,65537,0.635,0,1,1,0.08,0.002,circle
65537,65537,0.758,0,1,1,8,0.01,circle
65537,65537,0.59,0,1,1,2,0.01,circle
65537,65537,0.6,0,1,1,1,0.01,circle
65537,65537,0.631,0,1,1,0.4,0.01,circle
65537,65537,0.695,0,1,1,0.15,0.01,circle
65537,65537,0.611,0,1,1,0.08,0.01,circle
65537,65537,1,0,1,1,8,0.05,circle
65537,65537,0.816,0,1,1,2,0.05,circle
65537,65537,0.646,0,1,1,1,0.05,circle
65537,65537,0.67,0,1,1,0.4,0.05,circle
65537,65537,0.686,0,1,1,0.15,0.05,circle
65537,65537,0.666,0,1,1,0.08,0.05,circle
