gap,measured,predicted,ideal
0.1626,0.4912,0.4912,0.4912
0.101,0.432,0.432,0.4295
0.0154,0.3814,0.3814,0.3439
0.1083,0.4386,0.4386,0.4368
0.2955,0.6117,0.6117,0.6241
0.4648,0.657,0.657,0.6571
0.2582,0.5826,0.5826,0.5868
0.0841,0.4178,0.4178,0.4127
0.0318,0.3859,0.3859,0.3604
0.1126,0.4426,0.4426,0.4412
0.2007,0.529,0.529,0.5293
0.1476,0.4763,0.4763,0.4762
0.0735,0.4096,0.4096,0.4021
0.0339,0.3868,0.3868,0.3625
0.1978,0.5262,0.5262,0.5264
0.4096,0.6543,0.6543,0.6571
0.1651,0.4936,0.4936,0.4936
0.0129,0.381,0.381,0.3415
0.0877,0.4207,0.4207,0.4163
0.1576,0.4863,0.4863,0.4862
0.2362,0.5629,0.5629,0.5647
0.191,0.5194,0.5194,0.5196
0.1279,0.457,0.457,0.4565
0.0359,0.3876,0.3876,0.3645
0.1053,0.4359,0.4359,0.4339
0.3374,0.6356,0.6356,0.6571
0.136,0.4649,0.4649,0.4646
0.0166,0.3816,0.3816,0.3452
0.115,0.4448,0.4448,0.4435
0.182,0.5105,0.5105,0.5105
0.2296,0.5568,0.5568,0.5582
0.2451,0.571,0.571,0.5736
0.198,0.5264,0.5264,0.5266
0.1303,0.4594,0.4594,0.4589
0.0277,0.3845,0.3845,0.3563
0.1383,0.4671,0.4671,0.4669
0.1757,0.5043,0.5043,0.5043
0.0055,0.3802,0.3802,0.3341
0.1162,0.4459,0.4459,0.4447
0.1885,0.5169,0.5169,0.517
0.2383,0.5649,0.5649,0.5669
0.2987,0.6138,0.6138,0.6272
0.2678,0.5907,0.5907,0.5964
0.2245,0.552,0.552,0.5531
0.1609,0.4895,0.4895,0.4895
0.062,0.4015,0.4016,0.3906
0.1038,0.4346,0.4346,0.4324
0.1422,0.4709,0.4709,0.4707
0.0403,0.3895,0.3895,0.3689
0.1474,0.4761,0.4761,0.476
0.2156,0.5435,0.5435,0.5442
0.2616,0.5855,0.5855,0.5902
0.2942,0.6108,0.6108,0.6227
0.3101,0.6212,0.6212,0.6386
0.2793,0.5998,0.5998,0.6079
0.2348,0.5617,0.5617,0.5634
0.1667,0.4952,0.4952,0.4952
0.0547,0.397,0.397,0.3833
0.1488,0.4776,0.4775,0.4774
0.0291,0.385,0.385,0.3577
0.1518,0.4805,0.4805,0.4804
0.2254,0.5529,0.5529,0.554
0.2731,0.5949,0.5949,0.6016
0.3056,0.6184,0.6184,0.6342
0.3494,0.6406,0.6406,0.6571
0.3305,0.6324,0.6324,0.6571
0.3037,0.6172,0.6172,0.6323
0.2642,0.5877,0.5877,0.5928
0.2021,0.5304,0.5304,0.5307
0.0961,0.4278,0.4278,0.4247
0.0627,0.4021,0.402,0.3913
0.1185,0.448,0.448,0.447
0.2147,0.5426,0.5426,0.5433
0.272,0.5941,0.5941,0.6006
0.3089,0.6204,0.6204,0.6375
0.3341,0.6341,0.6341,0.6571
0.3703,0.6472,0.6472,0.6571
0.3562,0.643,0.643,0.6571
0.3364,0.6352,0.6352,0.6571
0.3071,0.6193,0.6193,0.6356
0.2608,0.5848,0.5848,0.5893
0.1811,0.5096,0.5096,0.5096
0.025,0.3836,0.3837,0.3536
0.1623,0.4909,0.4909,0.4908
0.2505,0.5758,0.5759,0.579
0.3008,0.6153,0.6153,0.6294
0.3323,0.6333,0.6333,0.6571
0.3534,0.642,0.642,0.6571
0.3682,0.6467,0.6467,0.6571
0.3818,0.65,0.65,0.6571
0.3695,0.647,0.647,0.6571
0.3516,0.6414,0.6414,0.6571
0.3239,0.629,0.629,0.6525
0.2775,0.5984,0.5984,0.606
0.19,0.5184,0.5184,0.5186
0.1133,0.4432,0.4432,0.4419
0.2413,0.5677,0.5677,0.5699
0.3039,0.6173,0.6173,0.6325
0.3394,0.6365,0.6365,0.6571
0.3615,0.6447,0.6447,0.6571
0.3762,0.6487,0.6487,0.6571
0.3866,0.6509,0.6509,0.6571
0.3986,0.6529,0.6529,0.6571
0.3907,0.6517,0.6517,0.6571
0.3791,0.6494,0.6494,0.6571
0.3612,0.6446,0.6446,0.6571
0.3311,0.6327,0.6327,0.6571
0.2738,0.5955,0.5955,0.6024
0.2229,0.5504,0.5505,0.5515
0.3075,0.6196,0.6196,0.6361
0.3483,0.6401,0.6401,0.6571
0.3712,0.6475,0.6475,0.6571
0.3855,0.6507,0.6507,0.6571
0.395,0.6524,0.6524,0.6571
0.4016,0.6533,0.6533,0.6571
0.4117,0.6545,0.6545,0.6571
0.4072,0.654,0.654,0.6571
0.4007,0.6532,0.6532,0.6571
0.3905,0.6516,0.6516,0.6571
0.3734,0.648,0.648,0.6571
0.3406,0.637,0.637,0.6571
0.3111,0.6217,0.6218,0.6397
0.3599,0.6442,0.6442,0.6571
0.3832,0.6502,0.6502,0.6571
0.3962,0.6526,0.6526,0.6571
0.4043,0.6537,0.6537,0.6571
0.4096,0.6543,0.6543,0.6571
0.4134,0.6547,0.6547,0.6571
0.4211,0.6553,0.6553,0.6571
0.4191,0.6552,0.6552,0.6571
0.4161,0.6549,0.6549,0.6571
0.4116,0.6545,0.6545,0.6571
0.4039,0.6536,0.6536,0.6571
0.3891,0.6514,0.6514,0.6571
0.3758,0.6486,0.6486,0.6571
0.3979,0.6528,0.6528,0.6571
0.4083,0.6542,0.6542,0.6571
0.4141,0.6548,0.6548,0.6571
0.4177,0.6551,0.6551,0.6571
0.4201,0.6553,0.6553,0.6571
0.4218,0.6554,0.6554,0.6571
0.4267,0.6557,0.6557,0.6571
0.4262,0.6557,0.6557,0.6571
0.4255,0.6557,0.6557,0.6571
0.4243,0.6556,0.6556,0.6571
0.4224,0.6554,0.6554,0.6571
0.4187,0.6552,0.6552,0.6571
0.4153,0.6549,0.6549,0.6571
0.4209,0.6553,0.6553,0.6571
0.4235,0.6555,0.6555,0.6571
0.425,0.6556,0.6556,0.6571
0.4259,0.6557,0.6557,0.6571
0.4265,0.6557,0.6557,0.6571
0.4269,0.6557,0.6557,0.6571
0.4286,0.6558,0.6558,0.6571
0.4286,0.6558,0.6558,0.6571
0.4286,0.6558,0.6558,0.6571
0.4286,0.6558,0.6558,0.6571
0.4286,0.6558,0.6558,0.6571
0.4286,0.6558,0.6558,0.6571
0.4286,0.6558,0.6558,0.6571
